ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
PHY    362      Quantum Mechanics I                                                                      3    units
Wave-Particleduality. Fundamental postulates of quantum Mechanics-Heisenberg’s uncertainty principle, statistical interpretation of wave function.  Correspondence principle: Hamilton-Jacobi equations, Schrodinger’s equation, application to one-dimensional time independent problems. Central force problems. Angular momentum and radial quantum numbers of hydrogen-like atoms. Introduction to scattering theory.
PHY    382      An Introduction to Astronomy                                                        3    units
Astronomical Units of mass, distance and time.  Optical and radio telescopes, observatories in space. Limitations due to nature of electromagnetic waves. Solar system, physics of planets and satellites, formation of planets, origin of the solar system. Stars-distances brightness, colours, luminosity, stellar types, spectra, stellar masses and dimension, stellar evolution. Herztprung-Russel diagram, exploding stars, supernova, neutron stars, pulsars, black holes. Galaxies, the Milky Way, classification of galaxies, abnormal galaxies, quasars, isotropy and homogeneity of the universe. Extra-terrestrial life.
PHY    391      Practical Physics V                                                                                   2   Units
(Prerequisite: PHY 292)
Selected Experiments from the 300-Level Physics Courses.
PHY    392      Practical Physics VI                                                                                 2   Units
(Prerequisite: PHY 391)
Selected Experiments from the 300-Level Physics Courses.
PHY    393      Workshop Course I (Mechanical)                                                  2     Units
Safety precautions in mechanical workshop/industries.  Units and measurements, materials and tools.  Use of various mechanical hand tools-hand files, hacksaw, drills, etc. Use of machine tools and practice-lathe machines, drilling machine, power hacksaw e.t.c Welding and fabrication practice. Maintenance and repair of machine tools, gears and threads.
 Woodwork tools and practice project. Technical drawing: Introduction to technical drawing, geometrical construction, isometric and oblique drawings. Orthographic projections – 1st and 3rd angle projections.
PHY 394         Workshop Course II (Electronics)                                                   2    Units
Safety precautions in electronic workshop/industries.  Units and measurements. Identification of electronic tools, electronic symbols and electronic components, colour codes in resistors and capacitors. Soldering techniques, circuits designs and wiring. Use of test equipment like multimeters, oscilloscopes and signal generators. Design and construction of power supply units, amplifiers, P.S.U. and phase-shift oscillators. Production line, role of computers. Projects.
PHY 396         Measurements and Instrumentation                                              2    Units
Measurements, nature, design of experiments, scales. Voltage and current measurements, digital voltmeters, measurement of A.C. voltage, average peak to peak response and r.m.s detectors, direct and alternating current probes.  Frequency and time measurements, standards, time signal broadcasting, frequency synthesizer. Signal analysis, digital analysis, digital techniques, Fourier transform techniques, signal statistics. Types of sensors; solid state, electrolytic, gaseous, ion, capacitor, magnetic induction and electronic sensors, various types of recorders. Basic principles of design, service and maintenance of instruments.
PHY 401         Computational Physics                                                                            2 Units
Use of numerical methods in Physics, Methods of solving non-linear equations, various methods of numerical integration, differentiation; numerical solutions of some differential equations in Physics; statistical analysis of experimental data. Computer programming in Fortran or C, use of flow diagrams, programming practice using some problems in Physics. Use of computers.
PHY    403      General Physics                                                                                        2 Units
Review of the five integrated themes in Physics, Viz.
 Concepts of space, time and motion. Conservation Principles- Energy, charge, angular momentum, e.t.c.  Fields – gravitational, magnetic, electrostatic, etc.  Waves and Quanta. Solution of simple problems on the above topics.
PHY    414      Introduction to industrial Processing                                                          2 Units
Basis principles of manufacturing. Measuring and gauging, cleaning and finishing. Mechanical working fundamentals – machining , rolling, forging, cutting, planning and drilling – use of the lathe family of machine tools. The laser – recent developments in manufacturing and material handling. Digital measurements and process control, automation. Quality control technique.
PHY 415         Science  of Materials                                                                                  3 Units
General introduction of materials and properties. Mechanical properties of materials;-tests to study stress, strain, ductility, hardness, toughness and fatigue. Work hardening, creep, fracture, fatigue. Recovery and recrystallization. Oxidation and corrosion. Study of imperfection, vacancies, dislocations, stacking faults and grain boundaries. Slip and twinning effects of defects. Theory and properties of simple alloys, the Hume-Rothery electron compounds, ordering in alloys, the long & short distance order theories. Electrical, electronic and optical properties of materials, electrical conduction, semiconductor materials, dielectrics, ferroelectrics and piezoelectric materials, ceramic magnetic materials.
Thermal properties of materials – heat capacity, thermal expansion, thermal conductivity, thermal radiation, thermal stresses, corrosion and radiation effects and non-destructive testing of materials. 
PHY   416     Solid State Physics II                                                                                 2 Units
Nearly free electron theory of solids, Band theory of solids; metals, insulators and semi-conductors; Effective mass, Fermi surfaces, electrons and holes in semiconductors, Magnetic properties of materials- basic concepts,  diamagnetism, paramagnetism and ferromagnetism; magnetic anisotropy and magnetostriction. Superconductivity-electrical and thermal properties; Lasers and Masers. Optical properties of materials
PHY    418      Physical Metallurgy                                                                                      2 Units
Sources and methods of production of metal and alloys. Effects of heat treatment, irradiation and deformation on the physical properties of refracting and rare earth metals. Melting, casting, pressure working and heat treatment of metals and alloys, welding and soldering. Single crystals of metals and alloys; methods of growing, degree of purity, substructure. Optical and X-ray metallography; ultrasonic examination of metals and alloys. Physical metallurgy of steel Applications.
 PHY  421      Analytical Mechanics                                                                           2  Units
(Prerequisite:  PHY 221)
N-Particle systems; generalized coordinates; D’Alambert’s principle, Lagrangrian formulation; Hamiltonian formulation.  Hamilton-Jacobi  equations.  Canonical transformations, generators, Poisson brackets, Jacobi identity.  Continuous systems;  classical theory of fields.  Small oscillations
